name,slug,description,short_description,type,status,visibility,brand_slug,category_slugs,price,compare_at_price,sku,track_inventory,initial_stock,image_url,image_alt
Classic Cotton T-Shirt,classic-cotton-t-shirt,"Classic Cotton T-Shirt designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic cotton t-shirt for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,7.99,SKU-0001,true,141,https://images.unsplash.com/featured/1200x1200/?classic-cotton-t-shirt,Classic Cotton T-Shirt product image
Premium Polo Shirt,premium-polo-shirt,"Premium Polo Shirt designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality premium polo shirt for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,8.99,11.99,SKU-0002,true,115,https://images.unsplash.com/featured/1200x1200/?premium-polo-shirt,Premium Polo Shirt product image
Slim Fit Oxford Shirt,slim-fit-oxford-shirt,"Slim Fit Oxford Shirt designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality slim fit oxford shirt for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,16.99,SKU-0003,true,118,https://images.unsplash.com/featured/1200x1200/?slim-fit-oxford-shirt,Slim Fit Oxford Shirt product image
Relaxed Linen Shirt,relaxed-linen-shirt,"Relaxed Linen Shirt designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality relaxed linen shirt for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,14.99,19.99,SKU-0004,true,96,https://images.unsplash.com/featured/1200x1200/?relaxed-linen-shirt,Relaxed Linen Shirt product image
Everyday Chino Pants,everyday-chino-pants,"Everyday Chino Pants designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality everyday chino pants for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,13.99,17.99,SKU-0005,true,93,https://images.unsplash.com/featured/1200x1200/?everyday-chino-pants,Everyday Chino Pants product image
Tapered Jogger Pants,tapered-jogger-pants,"Tapered Jogger Pants designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality tapered jogger pants for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,12.99,SKU-0006,true,72,https://images.unsplash.com/featured/1200x1200/?tapered-jogger-pants,Tapered Jogger Pants product image
Classic Denim Jeans,classic-denim-jeans,"Classic Denim Jeans designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic denim jeans for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,15.99,21.99,SKU-0007,true,72,https://images.unsplash.com/featured/1200x1200/?classic-denim-jeans,Classic Denim Jeans product image
Oversized Hoodie,oversized-hoodie,"Oversized Hoodie designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality oversized hoodie for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,17.99,SKU-0008,true,127,https://images.unsplash.com/featured/1200x1200/?oversized-hoodie,Oversized Hoodie product image
Lightweight Bomber Jacket,lightweight-bomber-jacket,"Lightweight Bomber Jacket designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality lightweight bomber jacket for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,21.99,29.99,SKU-0009,true,100,https://images.unsplash.com/featured/1200x1200/?lightweight-bomber-jacket,Lightweight Bomber Jacket product image
Quilted Winter Jacket,quilted-winter-jacket,"Quilted Winter Jacket designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality quilted winter jacket for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,29.99,39.99,SKU-0010,true,125,https://images.unsplash.com/featured/1200x1200/?quilted-winter-jacket,Quilted Winter Jacket product image
Leather Card Holder,leather-card-holder,"Leather Card Holder designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality leather card holder for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0011,true,60,https://images.unsplash.com/featured/1200x1200/?leather-card-holder,Leather Card Holder product image
Classic Leather Wallet,classic-leather-wallet,"Classic Leather Wallet designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic leather wallet for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0012,true,118,https://images.unsplash.com/featured/1200x1200/?classic-leather-wallet,Classic Leather Wallet product image
Canvas Backpack,canvas-backpack,"Canvas Backpack designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality canvas backpack for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,14.99,19.99,SKU-0013,true,113,https://images.unsplash.com/featured/1200x1200/?canvas-backpack,Canvas Backpack product image
Urban Laptop Backpack,urban-laptop-backpack,"Urban Laptop Backpack designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality urban laptop backpack for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,19.99,26.99,SKU-0014,true,125,https://images.unsplash.com/featured/1200x1200/?urban-laptop-backpack,Urban Laptop Backpack product image
Travel Duffel Bag,travel-duffel-bag,"Travel Duffel Bag designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality travel duffel bag for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,17.99,23.99,SKU-0015,true,26,https://images.unsplash.com/featured/1200x1200/?travel-duffel-bag,Travel Duffel Bag product image
Minimal Crossbody Bag,minimal-crossbody-bag,"Minimal Crossbody Bag designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality minimal crossbody bag for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,8.99,12.99,SKU-0016,true,77,https://images.unsplash.com/featured/1200x1200/?minimal-crossbody-bag,Minimal Crossbody Bag product image
Classic Analog Watch,classic-analog-watch,"Classic Analog Watch designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic analog watch for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,24.99,32.99,SKU-0017,true,76,https://images.unsplash.com/featured/1200x1200/?classic-analog-watch,Classic Analog Watch product image
Minimal Steel Watch,minimal-steel-watch,"Minimal Steel Watch designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality minimal steel watch for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,29.99,39.99,SKU-0018,true,110,https://images.unsplash.com/featured/1200x1200/?minimal-steel-watch,Minimal Steel Watch product image
Sport Digital Watch,sport-digital-watch,"Sport Digital Watch designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality sport digital watch for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,17.99,24.99,SKU-0019,true,32,https://images.unsplash.com/featured/1200x1200/?sport-digital-watch,Sport Digital Watch product image
Aviator Sunglasses,aviator-sunglasses,"Aviator Sunglasses designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality aviator sunglasses for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,11.99,SKU-0020,true,82,https://images.unsplash.com/featured/1200x1200/?aviator-sunglasses,Aviator Sunglasses product image
Classic Running Shoes,classic-running-shoes,"Classic Running Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic running shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,22.99,29.99,SKU-0021,true,78,https://images.unsplash.com/featured/1200x1200/?classic-running-shoes,Classic Running Shoes product image
Everyday Sneakers,everyday-sneakers,"Everyday Sneakers designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality everyday sneakers for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,17.99,23.99,SKU-0022,true,84,https://images.unsplash.com/featured/1200x1200/?everyday-sneakers,Everyday Sneakers product image
Leather Casual Shoes,leather-casual-shoes,"Leather Casual Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality leather casual shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,24.99,32.99,SKU-0023,true,140,https://images.unsplash.com/featured/1200x1200/?leather-casual-shoes,Leather Casual Shoes product image
Classic Formal Shoes,classic-formal-shoes,"Classic Formal Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic formal shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,29.99,39.99,SKU-0024,true,40,https://images.unsplash.com/featured/1200x1200/?classic-formal-shoes,Classic Formal Shoes product image
Comfort Walking Shoes,comfort-walking-shoes,"Comfort Walking Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality comfort walking shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,19.99,26.99,SKU-0025,true,94,https://images.unsplash.com/featured/1200x1200/?comfort-walking-shoes,Comfort Walking Shoes product image
Canvas Slip-On Shoes,canvas-slip-on-shoes,"Canvas Slip-On Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality canvas slip-on shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0026,true,72,https://images.unsplash.com/featured/1200x1200/?canvas-slip-on-shoes,Canvas Slip-On Shoes product image
Trail Outdoor Shoes,trail-outdoor-shoes,"Trail Outdoor Shoes designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality trail outdoor shoes for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,27.99,36.99,SKU-0027,true,63,https://images.unsplash.com/featured/1200x1200/?trail-outdoor-shoes,Trail Outdoor Shoes product image
Classic Flip Flops,classic-flip-flops,"Classic Flip Flops designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality classic flip flops for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0028,true,51,https://images.unsplash.com/featured/1200x1200/?classic-flip-flops,Classic Flip Flops product image
Cushioned Slides,cushioned-slides,"Cushioned Slides designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality cushioned slides for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,8.99,SKU-0029,true,35,https://images.unsplash.com/featured/1200x1200/?cushioned-slides,Cushioned Slides product image
Premium Loafers,premium-loafers,"Premium Loafers designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality premium loafers for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,26.99,34.99,SKU-0030,true,118,https://images.unsplash.com/featured/1200x1200/?premium-loafers,Premium Loafers product image
Wireless Earbuds,wireless-earbuds,"Wireless Earbuds designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality wireless earbuds for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,19.99,29.99,SKU-0031,true,32,https://images.unsplash.com/featured/1200x1200/?wireless-earbuds,Wireless Earbuds product image
Noise Cancelling Headphones,noise-cancelling-headphones,"Noise Cancelling Headphones designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality noise cancelling headphones for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,49.99,69.99,SKU-0032,true,66,https://images.unsplash.com/featured/1200x1200/?noise-cancelling-headphones,Noise Cancelling Headphones product image
Portable Bluetooth Speaker,portable-bluetooth-speaker,"Portable Bluetooth Speaker designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality portable bluetooth speaker for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,17.99,24.99,SKU-0033,true,68,https://images.unsplash.com/featured/1200x1200/?portable-bluetooth-speaker,Portable Bluetooth Speaker product image
USB-C Fast Charger,usb-c-fast-charger,"USB-C Fast Charger designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality usb-c fast charger for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0034,true,34,https://images.unsplash.com/featured/1200x1200/?usb-c-fast-charger,USB-C Fast Charger product image
Multi-Port Charging Hub,multi-port-charging-hub,"Multi-Port Charging Hub designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality multi-port charging hub for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,12.99,17.99,SKU-0035,true,115,https://images.unsplash.com/featured/1200x1200/?multi-port-charging-hub,Multi-Port Charging Hub product image
Braided USB-C Cable,braided-usb-c-cable,"Braided USB-C Cable designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality braided usb-c cable for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0036,true,36,https://images.unsplash.com/featured/1200x1200/?braided-usb-c-cable,Braided USB-C Cable product image
"20,000mAh Power Bank",20000mah-power-bank,"20,000mAh Power Bank designed for reliable everyday use, combining practical features, quality materials and a clean modern design.","Quality 20,000mah power bank for everyday use.",SIMPLE,DRAFT,VISIBLE,acme,apparel,14.99,19.99,SKU-0037,true,94,https://images.unsplash.com/featured/1200x1200/?20000mah-power-bank,"20,000mAh Power Bank product image"
Smart Fitness Band,smart-fitness-band,"Smart Fitness Band designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality smart fitness band for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,24.99,34.99,SKU-0038,true,95,https://images.unsplash.com/featured/1200x1200/?smart-fitness-band,Smart Fitness Band product image
Mechanical Gaming Keyboard,mechanical-gaming-keyboard,"Mechanical Gaming Keyboard designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality mechanical gaming keyboard for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,29.99,39.99,SKU-0039,true,147,https://images.unsplash.com/featured/1200x1200/?mechanical-gaming-keyboard,Mechanical Gaming Keyboard product image
Wireless Mouse,wireless-mouse,"Wireless Mouse designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality wireless mouse for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0040,true,23,https://images.unsplash.com/featured/1200x1200/?wireless-mouse,Wireless Mouse product image
Ceramic Coffee Mug,ceramic-coffee-mug,"Ceramic Coffee Mug designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality ceramic coffee mug for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.49,4.99,SKU-0041,true,75,https://images.unsplash.com/featured/1200x1200/?ceramic-coffee-mug,Ceramic Coffee Mug product image
Insulated Travel Mug,insulated-travel-mug,"Insulated Travel Mug designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality insulated travel mug for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0042,true,64,https://images.unsplash.com/featured/1200x1200/?insulated-travel-mug,Insulated Travel Mug product image
Stainless Steel Water Bottle,stainless-steel-water-bottle,"Stainless Steel Water Bottle designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality stainless steel water bottle for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,5.99,8.99,SKU-0043,true,29,https://images.unsplash.com/featured/1200x1200/?stainless-steel-water-bottle,Stainless Steel Water Bottle product image
Glass Storage Jar Set,glass-storage-jar-set,"Glass Storage Jar Set designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality glass storage jar set for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,8.99,12.99,SKU-0044,true,36,https://images.unsplash.com/featured/1200x1200/?glass-storage-jar-set,Glass Storage Jar Set product image
Bamboo Cutting Board,bamboo-cutting-board,"Bamboo Cutting Board designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality bamboo cutting board for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,6.99,9.99,SKU-0045,true,32,https://images.unsplash.com/featured/1200x1200/?bamboo-cutting-board,Bamboo Cutting Board product image
Non-Stick Frying Pan,non-stick-frying-pan,"Non-Stick Frying Pan designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality non-stick frying pan for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,9.99,13.99,SKU-0046,true,131,https://images.unsplash.com/featured/1200x1200/?non-stick-frying-pan,Non-Stick Frying Pan product image
Chef Knife,chef-knife,"Chef Knife designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality chef knife for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0047,true,38,https://images.unsplash.com/featured/1200x1200/?chef-knife,Chef Knife product image
Cotton Kitchen Towels,cotton-kitchen-towels,"Cotton Kitchen Towels designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality cotton kitchen towels for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,3.99,5.99,SKU-0048,true,147,https://images.unsplash.com/featured/1200x1200/?cotton-kitchen-towels,Cotton Kitchen Towels product image
Reusable Food Containers,reusable-food-containers,"Reusable Food Containers designed for reliable everyday use, combining practical features, quality materials and a clean modern design.",Quality reusable food containers for everyday use.,SIMPLE,DRAFT,VISIBLE,acme,apparel,7.99,10.99,SKU-0049,true,37,https://images.unsplash.com/featured/1200x1200/?reusable-food-containers,Reusable Food Containers product image
